discriminant,regime_code,x,sigma,diffusion,U_geom,U_fin,U_eff
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.212499999999999911e+00,2.979031249999999909e-01,4.437313594238281172e-02,-5.958062499999999817e-03,6.503220472651154160e-02,5.907414222651154873e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.205000000000000071e+00,2.972405000000000186e-01,4.417595742012500604e-02,-5.944810000000001760e-03,6.502842743574817341e-02,5.908361743574816471e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.197499999999999787e+00,2.965801249999999722e-01,4.397988527250780433e-02,-5.931602499999999098e-03,6.502494301488347117e-02,5.909334051488346340e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.189999999999999947e+00,2.959220000000000184e-01,4.378491504200000828e-02,-5.918440000000001373e-03,6.502174892032738795e-02,5.910330892032739092e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.182500000000000107e+00,2.952661250000000459e-01,4.359104228625782645e-02,-5.905322500000000779e-03,6.501884259287429857e-02,5.911352009287430126e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.174999999999999822e+00,2.946124999999999994e-01,4.339826257812499921e-02,-5.892249999999999918e-03,6.501622145756881521e-02,5.912397145756881356e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.167499999999999982e+00,2.939611249999999898e-01,4.320657150563281257e-02,-5.879222499999999657e-03,6.501388292357215826e-02,5.913466042357215513e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.160000000000000142e+00,2.933120000000000172e-01,4.301596467200000801e-02,-5.866240000000001731e-03,6.501182438402966501e-02,5.914558438402965634e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.152499999999999858e+00,2.926651249999999704e-01,4.282643769563280328e-02,-5.853302499999999201e-03,6.501004321593881197e-02,5.915674071593881450e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.145000000000000018e+00,2.920205000000000162e-01,4.263798621012500345e-02,-5.840410000000000740e-03,6.500853678001838887e-02,5.916812678001839160e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.137500000000000178e+00,2.913781250000000433e-01,4.245060586425782739e-02,-5.827562500000001144e-03,6.500730242057836672e-02,5.917973992057835864e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.129999999999999893e+00,2.907379999999999964e-01,4.226429232199999803e-02,-5.814759999999999547e-03,6.500633746539102864e-02,5.919157746539102649e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.122500000000000053e+00,2.901001250000000420e-01,4.207904126250782556e-02,-5.802002500000000285e-03,6.500563922556282237e-02,5.920363672556281515e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.115000000000000213e+00,2.894645000000000135e-01,4.189484838012500628e-02,-5.789290000000001622e-03,6.500520499540747565e-02,5.921591499540747316e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.107499999999999929e+00,2.888311250000000219e-01,4.171170938438281683e-02,-5.776622500000001825e-03,6.500503205232026349e-02,5.922840955232025473e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.100000000000000089e+00,2.882000000000000117e-01,4.152962000000000320e-02,-5.763999999999999159e-03,6.500511765665326069e-02,5.924111765665326240e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.092500000000000249e+00,2.875711250000000385e-01,4.134857596688282233e-02,-5.751422500000000562e-03,6.500545905159196836e-02,5.925403655159196953e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.084999999999999964e+00,2.869444999999999912e-01,4.116857304012500052e-02,-5.738889999999999963e-03,6.500605346303317544e-02,5.926716346303317895e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.077500000000000124e+00,2.863201250000000364e-01,4.098960699000782359e-02,-5.726402500000001700e-03,6.500689809946411102e-02,5.928049559946411279e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.070000000000000284e+00,2.856980000000000075e-01,4.081167360200000510e-02,-5.713960000000001434e-03,6.500799015184298424e-02,5.929403015184298020e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.062500000000000000e+00,2.850781250000000155e-01,4.063476867675781812e-02,-5.701562500000000033e-03,6.500932679348089827e-02,5.930776429348090517e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.055000000000000160e+00,2.844605000000000050e-01,4.045888803012499813e-02,-5.689209999999998366e-03,6.501090517992536011e-02,5.932169517992536695e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.047499999999999876e+00,2.838451250000000314e-01,4.028402749313281933e-02,-5.676902500000000767e-03,6.501272244884513662e-02,5.933581994884513933e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.040000000000000036e+00,2.832320000000000393e-01,4.011018291200001140e-02,-5.664640000000002035e-03,6.501477571991691462e-02,5.935013571991691606e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.032500000000000195e+00,2.826211250000000286e-01,3.993735014813282191e-02,-5.652422500000000433e-03,6.501706209471337650e-02,5.936463959471337259e-02
-1.600000000000000033e-02,-1.000000000000000000e+00,-2.024999999999999911e+00,2.820124999999999993e-01,3.976552507812500248e-02,-5.640250000000001165e-03,6.501957865659305225e-02,5.937932865659305975e-02
